Name,DBA,Status,Tier,State,Website,Product Focus,Pitch Angle,Regulatory Flags,Source,Notes
Pine Pharmaceuticals,,Prospect,Tier 1,NY,https://pinepharmaceuticals.com,"Ophthalmology (combo drops, blocks), hospital/ASC, specialty practices","Absorbed Athenex book; extend into ophtho private practices/ASCs; ImprimisRx CA exit = land-grab moment","2015 483 (aged); fresh 483 11/14/2025 - do not reference, expect remediation distraction",gtm/supplier-targets.md,"Contact: Alfonse J. Muto PharmD co-owner (LinkedIn in/alfonsejmuto); sales@pinepharmaceuticals.com"
Belmar Select Outsourcing,Belmar Pharma Solutions,Prospect,Tier 1,CO,https://belmarpharmasolutions.com,"Hormone pellets, T-cyp blends, men's/women's health","AmSpa member; license-verified med spa/HRT buyers in 48 ship-to states; independent of Biote/EvexiPEL",None recent found,gtm/supplier-targets.md,"Contact: Bonnie Scerbo Dir Mktg (in/bonnie-scerbo) then CEO Rob Kilgore; 800-525-9473; hooks: Pasco WA facility, DeRosa Inc 500"
Olympia Pharmaceuticals,,Prospect,Tier 1,FL,https://olympiapharmacy.com,"TriMix category king, IV therapy, vitamin injections","New president (5/2026) building wins; pitch niche coverage in-house reps don't reach","483 8/2025 - do not reference; markets GLP-1s (we don't touch that line)",gtm/supplier-contacts.md,"Contact: Joshua Fritzler President (new 5/19/2026, congrats angle); CEO Mark Mikhael on FL Board of Pharmacy 2/2026; expect channel-conflict questions"
AnazaoHealth,,Prospect,Tier 1,NV,https://anazaohealth.com,"Aesthetics, IV therapy, HRT, sexual health","Clinic-long-tail acquisition layer Fagron hasn't built; non-GLP-1 only stated upfront",WL 08/2021 (aged),gtm/supplier-contacts.md,"Contact: Michelle Kennedy VP Sales (in/michelle-kennedy-7725585) then Hal Weaver President; Fagron NA may own decision - longer cycle"
Nubratori RX,,Prospect,Tier 1,CA,https://nubratorirx.com,Sterile injectables + topicals,"Founder-led fast yes/no; 2025 Inc 5000 congrats opener; multi-state footprint pitch",None recent found,gtm/supplier-contacts.md,"Contact: Robert P. Nickell Founder/CEO; CA buyers stay carved out - this is about their other states"
KRS Global Biotechnology,GBTRx,Prospect,Tier 2,FL,https://krsbio.com,"Sterile/non-sterile for ASCs, ophthalmology clinics, hospitals",Verified ASC/ophtho demand sequenced to licensed states - AFTER qualifying company status,"2019 all-products recall; 2017 483; ownership convoluted since 2020 acquisition",gtm/supplier-contacts.md,"QUALIFY FIRST (one call): operating scale unverified. Contact: Riccardo Roscetti President/CEO (in/riccardo-roscetti-b8a95917); domain @krsbio.com confirmed live"
FarmaKeio Outsourcing,,Prospect,Tier 2,TX,https://farmakeio.com,"Pellets, custom injectables",Physician-network model aligns; cheap to ask,WL 07/2021 (aged),gtm/supplier-targets.md,"Semi-captive to EvexiPEL - likely conflict. Contact: Daniel DeNeui CEO; Cody Boatman COO (in/cody-boatman-a0b32b79)"
Carie Boyd Pharmaceuticals,Right Value Drug Stores,Prospect,Watch,TX,https://carieboyd.com,"Pellets (automated mfg), office-use injectables",Independent pellet alternative - revisit post-remediation,"FDA WL 12/17/2024 + 483 7/18/2025 + open MA board complaints - fails our recent-WL standard",gtm/supplier-contacts.md,"Re-check late 2026. Contact then: Evan Gilbert CEO (Phoenix-based, in/evanmgilbert); info@carieboyd.com"
OSRX Inc,,Prospect,Watch,MT,https://osrxpharmaceuticals.com,Ophthalmology-only combo drops,Perfect buyer alignment when clean,FDA WL 04/2025,gtm/supplier-targets.md,Re-check 2026-09-27
Medivant Health,Tailstorm Health,Prospect,Watch,AZ,https://medivant503b.com,"Automated generic sterile injectables, prefilled syringes",Clinic-direct AZ neighbor when clean,FDA WL 04/2025,gtm/supplier-targets.md,Re-check 2026-09-27
Wells Pharma of Houston,,Prospect,Watch,TX,https://wellspharmatx.com,"Critical care, nerve blocks, clinic syringes",Right channel when clean,FDA WL 11/2025,gtm/supplier-targets.md,Re-check 2026-10-27
Apothecary Pharma,,Prospect,Watch,NC,,Sterile office-use compounds,Watch only,FDA WL 12/2025; production paused 5/2025 resumed 8/2025,gtm/supplier-targets.md,Re-check 2026-10-27
Edge Pharma,,Terminated,Excluded,VT,,,,"DEFUNCT: federally enjoined 6/2022, assets liquidated 12/2022",gtm/supplier-contacts.md,"Do not contact. Don't conflate with 'Edge Pharmaceuticals' (Hinesburg VT) - different company, unresearched"
